Arquivo,Palavra,Ocorrencias
Dracula-165307.txt,muster,1
Dracula-165307.txt,motive,4
Dracula-165307.txt,root,2
Dracula-165307.txt,patrick,2
Dracula-165307.txt,hard,49
Dracula-165307.txt,projection,1
Dracula-165307.txt,fluffy,1
Dracula-165307.txt,roof,2
Dracula-165307.txt,depriving,1
Dracula-165307.txt,impletata,1
Dracula-165307.txt,greyness,1
Dracula-165307.txt,quarters,1
Dracula-165307.txt,bloke,1
Dracula-165307.txt,room,231
Dracula-165307.txt,better,77
Dracula-165307.txt,haggard,5
Dracula-165307.txt,poignant,2
Dracula-165307.txt,magnifico_,1
Dracula-165307.txt,permit,3
Dracula-165307.txt,suitable,3
Dracula-165307.txt,taking,34
Dracula-165307.txt,madmen,7
Dracula-165307.txt,romance,1
Dracula-165307.txt,fountain,1
Dracula-165307.txt,gravediggers,1
Dracula-165307.txt,breadth,1
Dracula-165307.txt,atlas,1
Dracula-165307.txt,pile,2
Dracula-165307.txt,immortal,1
Dracula-165307.txt,hats,3
Dracula-165307.txt,assiduously,1
Dracula-165307.txt,_ground,1
Dracula-165307.txt,tripping,1
Dracula-165307.txt,pill,1
Dracula-165307.txt,fiercer,1
Dracula-165307.txt,conjecture,1
Dracula-165307.txt,discharged,2
Dracula-165307.txt,gained,4
Dracula-165307.txt,sash,4
Dracula-165307.txt,flashing,1
Dracula-165307.txt,struck,33
Dracula-165307.txt,hate,11
Dracula-165307.txt,flow,1
Dracula-165307.txt,order,32
Dracula-165307.txt,carrion,1
Dracula-165307.txt,protecting,1
Dracula-165307.txt,hasn,3
Dracula-165307.txt,pressed,14
Dracula-165307.txt,arminus,1
Dracula-165307.txt,rayner,1
Dracula-165307.txt,resonance,1
Dracula-165307.txt,exertion,1
Dracula-165307.txt,propose,4
Dracula-165307.txt,cords,2
Dracula-165307.txt,tombstones,6
Dracula-165307.txt,presses,1
Dracula-165307.txt,coach,12
Dracula-165307.txt,women,46
Dracula-165307.txt,pink,3
Dracula-165307.txt,baying,1
Dracula-165307.txt,woman,61
Dracula-165307.txt,pine,5
Dracula-165307.txt,save,34
Dracula-165307.txt,protection,1
Dracula-165307.txt,toe,1
Dracula-165307.txt,shutting,2
Dracula-165307.txt,footsteps,6
Dracula-165307.txt,frankly,8
Dracula-165307.txt,ands,1
Dracula-165307.txt,scrap,4
Dracula-165307.txt,ton,1
Dracula-165307.txt,hypertext,1
Dracula-165307.txt,tom,1
Dracula-165307.txt,top,22
Dracula-165307.txt,too,215
Dracula-165307.txt,honesty,2
Dracula-165307.txt,thruff,2
Dracula-165307.txt,rosy,4
Dracula-165307.txt,orderly,2
Dracula-165307.txt,have,1067
Dracula-165307.txt,maidens,2
Dracula-165307.txt,gott,4
Dracula-165307.txt,casting,1
Dracula-165307.txt,jagged,5
Dracula-165307.txt,buckled,1
Dracula-165307.txt,troughs,1
Dracula-165307.txt,avail,3
Dracula-165307.txt,question,15
Dracula-165307.txt,camera_,1
Dracula-165307.txt,additions,1
Dracula-165307.txt,drugs,1
Dracula-165307.txt,spirit,15
Dracula-165307.txt,whirlpool,2
Dracula-165307.txt,intellectual,6
Dracula-165307.txt,ascending,2
Dracula-165307.txt,wishing,3
Dracula-165307.txt,picture,4
Dracula-165307.txt,sarcastic,1
Dracula-165307.txt,trusts,1
Dracula-165307.txt,regard,10
Dracula-165307.txt,warmed,2
Dracula-165307.txt,rose,40
Dracula-165307.txt,thousand,10
Dracula-165307.txt,marquand,2
Dracula-165307.txt,ptomaines,1
Dracula-165307.txt,tortured,1
Dracula-165307.txt,cow,1
Dracula-165307.txt,madman,13
Dracula-165307.txt,pacify,1
Dracula-165307.txt,gown,5
Dracula-165307.txt,alder,1
Dracula-165307.txt,quietude,1
Dracula-165307.txt,despondently,1
Dracula-165307.txt,owns,2
Dracula-165307.txt,pipe,1
Dracula-165307.txt,joyously,1
Dracula-165307.txt,ceasing,1
Dracula-165307.txt,circumstances,12
Dracula-165307.txt,including,10
Dracula-165307.txt,conveniently,1
Dracula-165307.txt,drooped,1
Dracula-165307.txt,introducing,1
Dracula-165307.txt,pardon,12
Dracula-165307.txt,mystifying,1
Dracula-165307.txt,plenty,5
Dracula-165307.txt,seconding,1
Dracula-165307.txt,archway,1
Dracula-165307.txt,anew,1
Dracula-165307.txt,obligation,1
Dracula-165307.txt,gout,2
Dracula-165307.txt,mapped,1
Dracula-165307.txt,try,64
Dracula-165307.txt,rarity,1
Dracula-165307.txt,became,42
Dracula-165307.txt,fatted,1
Dracula-165307.txt,chicken,4
Dracula-165307.txt,unenforceability,1
Dracula-165307.txt,soulless,1
Dracula-165307.txt,lanthorns,1
Dracula-165307.txt,clammy,1
Dracula-165307.txt,imperceptible,1
Dracula-165307.txt,blindfold,2
Dracula-165307.txt,effective,1
Dracula-165307.txt,times,56
Dracula-165307.txt,cowering,1
Dracula-165307.txt,bilder,6
Dracula-165307.txt,trephining,1
Dracula-165307.txt,daubed,1
Dracula-165307.txt,says,44
Dracula-165307.txt,direction,10
Dracula-165307.txt,whence,6
Dracula-165307.txt,cry,18
Dracula-165307.txt,totals,1
Dracula-165307.txt,inspector,1
Dracula-165307.txt,rows,1
Dracula-165307.txt,probe,2
Dracula-165307.txt,reservations,1
Dracula-165307.txt,merchantability,1
Dracula-165307.txt,stable,4
Dracula-165307.txt,harness,2
Dracula-165307.txt,directing,1
Dracula-165307.txt,grapple,1
Dracula-165307.txt,piteously,1
Dracula-165307.txt,respond,2
Dracula-165307.txt,incident,4
Dracula-165307.txt,fatten,1
Dracula-165307.txt,caught,18
Dracula-165307.txt,todten,1
Dracula-165307.txt,pity,24
Dracula-165307.txt,uncertain,3
Dracula-165307.txt,concern,2
Dracula-165307.txt,stubble,2
Dracula-165307.txt,unsearched,1
Dracula-165307.txt,beautiful,31
Dracula-165307.txt,worked,11
Dracula-165307.txt,palsy,1
Dracula-165307.txt,state,35
Dracula-165307.txt,contrasted,1
Dracula-165307.txt,scolded,1
Dracula-165307.txt,defined,1
Dracula-165307.txt,element,1
Dracula-165307.txt,queerest,1
Dracula-165307.txt,concealment,5
Dracula-165307.txt,probable,3
Dracula-165307.txt,opposite,10
Dracula-165307.txt,restraint,1
Dracula-165307.txt,clouded,1
Dracula-165307.txt,creating,4
Dracula-165307.txt,restrained,2
Dracula-165307.txt,furze,1
Dracula-165307.txt,cup,7
Dracula-165307.txt,twa,1
Dracula-165307.txt,sweeping,1
Dracula-165307.txt,distrustful,1
Dracula-165307.txt,wasting,1
Dracula-165307.txt,cut,35
Dracula-165307.txt,probably,9
Dracula-165307.txt,placidity,1
Dracula-165307.txt,constitutional,1
Dracula-165307.txt,penniless,1
Dracula-165307.txt,manly,2
Dracula-165307.txt,dread,21
Dracula-165307.txt,weighed,2
Dracula-165307.txt,untrue,1
Dracula-165307.txt,two,133
Dracula-165307.txt,moment,106
Dracula-165307.txt,warmly,4
Dracula-165307.txt,unfitting,1
Dracula-165307.txt,instinctive,1
Dracula-165307.txt,coevals,1
Dracula-165307.txt,tear,6
Dracula-165307.txt,desired,1
Dracula-165307.txt,calmly,7
Dracula-165307.txt,attack,15
Dracula-165307.txt,humour,5
Dracula-165307.txt,fangled,2
Dracula-165307.txt,reported,11
Dracula-165307.txt,attach,1
Dracula-165307.txt,worried,5
Dracula-165307.txt,distribute,7
Dracula-165307.txt,shout,4
Dracula-165307.txt,kitchen,4
Dracula-165307.txt,creation,3
Dracula-165307.txt,inclination,1
Dracula-165307.txt,stench,1
Dracula-165307.txt,think,218
Dracula-165307.txt,blandly,1
Dracula-165307.txt,languages,2
Dracula-165307.txt,occurred,11
Dracula-165307.txt,anxiously,2
Dracula-165307.txt,forbidden,2
Dracula-165307.txt,desires,1
Dracula-165307.txt,accused,1
Dracula-165307.txt,replaced,3
Dracula-165307.txt,team,1
Dracula-165307.txt,services,1
Dracula-165307.txt,shove,2
Dracula-165307.txt,_he_,2
Dracula-165307.txt,petted,3
Dracula-165307.txt,filling,1
Dracula-165307.txt,torture,5
Dracula-165307.txt,mistress,1
Dracula-165307.txt,purfleet,6
Dracula-165307.txt,watch,64
Dracula-165307.txt,speech,5
Dracula-165307.txt,antwerp,1
Dracula-165307.txt,comatose,1
Dracula-165307.txt,purple,3
Dracula-165307.txt,thing,97
Dracula-165307.txt,slapped,1
Dracula-165307.txt,prepossessing,1
Dracula-165307.txt,glare,2
Dracula-165307.txt,shook,30
Dracula-165307.txt,terrestrial,1
Dracula-165307.txt,dying,15
Dracula-165307.txt,flagboat,1
Dracula-165307.txt,paying,4
Dracula-165307.txt,fellows,6
Dracula-165307.txt,garth,1
Dracula-165307.txt,blows,1
Dracula-165307.txt,donation,1
Dracula-165307.txt,starts,2
Dracula-165307.txt,sullenness,1
Dracula-165307.txt,sheepskin,1
Dracula-165307.txt,budget,1
Dracula-165307.txt,wolfs,1
Dracula-165307.txt,actual,4
Dracula-165307.txt,eastern,5
Dracula-165307.txt,glass,24
Dracula-165307.txt,reflection,3
Dracula-165307.txt,clatter,1
Dracula-165307.txt,ultimate,2
Dracula-165307.txt,widely,1
Dracula-165307.txt,spurting,1
Dracula-165307.txt,suited,1
Dracula-165307.txt,easiest,1
Dracula-165307.txt,assume,1
Dracula-165307.txt,cerements,1
Dracula-165307.txt,clumsiness,1
Dracula-165307.txt,memory,21
Dracula-165307.txt,scientist,1
Dracula-165307.txt,concept,2
Dracula-165307.txt,intercede,1
Dracula-165307.txt,sleeplessness,1
Dracula-165307.txt,farmers,1
Dracula-165307.txt,house,135
Dracula-165307.txt,practising,2
Dracula-165307.txt,ironbound,1
Dracula-165307.txt,hitch,1
Dracula-165307.txt,stark,1
Dracula-165307.txt,chilling,1
Dracula-165307.txt,lifting,5
Dracula-165307.txt,bellow,1
Dracula-165307.txt,stare,3
Dracula-165307.txt,unhook,1
Dracula-165307.txt,gentleness,1
Dracula-165307.txt,replying,2
Dracula-165307.txt,widens,1
Dracula-165307.txt,hours,32
Dracula-165307.txt,wolds,2
Dracula-165307.txt,start,29
Dracula-165307.txt,shore,13
Dracula-165307.txt,stars,4
Dracula-165307.txt,_piccadilly,1
Dracula-165307.txt,humoured,1
Dracula-165307.txt,stumbled,1
Dracula-165307.txt,earliest,1
Dracula-165307.txt,psalmist,1
Dracula-165307.txt,wrung,5
Dracula-165307.txt,fallen,19
Dracula-165307.txt,marvel,1
Dracula-165307.txt,ominously,1
Dracula-165307.txt,dishonour,6
Dracula-165307.txt,short,21
Dracula-165307.txt,finance,1
Dracula-165307.txt,_his,1
Dracula-165307.txt,downward,4
Dracula-165307.txt,abreast,3
Dracula-165307.txt,regulate,2
Dracula-165307.txt,ninety,1
Dracula-165307.txt,truths,2
Dracula-165307.txt,_firstly,1
Dracula-165307.txt,imagined,3
Dracula-165307.txt,unholy,3
Dracula-165307.txt,trains,3
Dracula-165307.txt,required,10
Dracula-165307.txt,climb,3
Dracula-165307.txt,measures,1
Dracula-165307.txt,coats,2
Dracula-165307.txt,jackals,2
Dracula-165307.txt,golden,7
Dracula-165307.txt,whettin,1
Dracula-165307.txt,enter,21
Dracula-165307.txt,eddies,1
Dracula-165307.txt,animile,1
Dracula-165307.txt,furiously,1
Dracula-165307.txt,flowers,27
Dracula-165307.txt,groaning,1
Dracula-165307.txt,warmth,4
Dracula-165307.txt,leper,1
Dracula-165307.txt,destroy,20
Dracula-165307.txt,wretch,3
Dracula-165307.txt,dates,5
Dracula-165307.txt,deemed,1
Dracula-165307.txt,railways,1
Dracula-165307.txt,respectfully,1
Dracula-165307.txt,doings,4
Dracula-165307.txt,chernosese,1
Dracula-165307.txt,coast,4
Dracula-165307.txt,blots,1
Dracula-165307.txt,eyebrows,8
Dracula-165307.txt,reckoned,2
Dracula-165307.txt,_ignoratio,1
Dracula-165307.txt,sorrows,3
Dracula-165307.txt,circling,3
Dracula-165307.txt,remissness,1
Dracula-165307.txt,redistribute,1
Dracula-165307.txt,bright,24
Dracula-165307.txt,consume,1
Dracula-165307.txt,gladsome,1
Dracula-165307.txt,vulgarised,1
Dracula-165307.txt,providin,1
Dracula-165307.txt,unknown,11
Dracula-165307.txt,billows,1
Dracula-165307.txt,manus,1
Dracula-165307.txt,assure,3
Dracula-165307.txt,consult,9
Dracula-165307.txt,coughed,1
Dracula-165307.txt,manners,2
Dracula-165307.txt,motionless,1
Dracula-165307.txt,propped,1
Dracula-165307.txt,thereinto,1
Dracula-165307.txt,survive,3
Dracula-165307.txt,blown,2
Dracula-165307.txt,bedside,4
Dracula-165307.txt,reaping,1
Dracula-165307.txt,performed,3
Dracula-165307.txt,walled,1
Dracula-165307.txt,flurries,3
Dracula-165307.txt,horrorstruck,1
Dracula-165307.txt,fetch,3
Dracula-165307.txt,barely,2
Dracula-165307.txt,prevalent,1
Dracula-165307.txt,hanging,2
Dracula-165307.txt,cling,1
Dracula-165307.txt,audibly,1
Dracula-165307.txt,endorsement,1
Dracula-165307.txt,compact,1
Dracula-165307.txt,friendly,2
Dracula-165307.txt,dad,1
Dracula-165307.txt,tell,195
Dracula-165307.txt,possession,8
Dracula-165307.txt,medusa,1
Dracula-165307.txt,flames,8
Dracula-165307.txt,suspiciously,1
Dracula-165307.txt,runaway,1
Dracula-165307.txt,daresay,4
Dracula-165307.txt,dam,2
Dracula-165307.txt,shows,5
Dracula-165307.txt,outlined,2
Dracula-165307.txt,emptiness,2
Dracula-165307.txt,shown,9
Dracula-165307.txt,bloom,6
Dracula-165307.txt,forcibly,3
Dracula-165307.txt,pointing,8
Dracula-165307.txt,day,224
Dracula-165307.txt,keeps,9
Dracula-165307.txt,accustomed,7
Dracula-165307.txt,billreuth,1
Dracula-165307.txt,raising,8
Dracula-165307.txt,statesman,1
Dracula-165307.txt,drinking,1
Dracula-165307.txt,created,3
Dracula-165307.txt,format,4
Dracula-165307.txt,daffled,1
Dracula-165307.txt,water,60
Dracula-165307.txt,domine,1
Dracula-165307.txt,formal,3
Dracula-165307.txt,meekness,1
Dracula-165307.txt,grassy,1
Dracula-165307.txt,scattering,2
Dracula-165307.txt,countless,1
Dracula-165307.txt,pierced,3
Dracula-165307.txt,flamed,2
Dracula-165307.txt,undressing,2
Dracula-165307.txt,sobbed,1
Dracula-165307.txt,_how,1
Dracula-165307.txt,stoker,3
Dracula-165307.txt,critical,1
Dracula-165307.txt,boards,1
Dracula-165307.txt,elsewhere,3
Dracula-165307.txt,guarded,6
Dracula-165307.txt,tend,1
Dracula-165307.txt,tramping,4
Dracula-165307.txt,nicest,1
Dracula-165307.txt,winningly,1
Dracula-165307.txt,concealments,1
Dracula-165307.txt,tones,9
Dracula-165307.txt,specimen,3
Dracula-165307.txt,dated,2
Dracula-165307.txt,hinges,4
Dracula-165307.txt,psychic,1
Dracula-165307.txt,introduction,1
Dracula-165307.txt,heaving,2
Dracula-165307.txt,archibald,1
Dracula-165307.txt,revenge,2
Dracula-165307.txt,built,6
Dracula-165307.txt,subscribe,1
Dracula-165307.txt,noticing,5
Dracula-165307.txt,paltry,1
Dracula-165307.txt,lectures,2
Dracula-165307.txt,burdened,1
Dracula-165307.txt,threads,1
Dracula-165307.txt,pouches,1
Dracula-165307.txt,concentration,3
Dracula-165307.txt,heavily,11
Dracula-165307.txt,distils,1
Dracula-165307.txt,soaped,1
Dracula-165307.txt,ahint,1
Dracula-165307.txt,diamond,2
Dracula-165307.txt,overtook,1
Dracula-165307.txt,third,6
Dracula-165307.txt,build,1
Dracula-165307.txt,further,34
Dracula-165307.txt,wilhelmina,4
Dracula-165307.txt,cheerless,1
Dracula-165307.txt,tolerate,1
Dracula-165307.txt,dearest,15
Dracula-165307.txt,contracted,1
Dracula-165307.txt,mixing,1
Dracula-165307.txt,gloated,1
Dracula-165307.txt,den,1
Dracula-165307.txt,flushed,4
Dracula-165307.txt,viewing,1
Dracula-165307.txt,shouted,7
Dracula-165307.txt,ashen,3
Dracula-165307.txt,angelic,1
Dracula-165307.txt,examining,7
Dracula-165307.txt,railway,4
Dracula-165307.txt,swelled,1
Dracula-165307.txt,crisp,1
Dracula-165307.txt,going,68
Dracula-165307.txt,carefully,19
Dracula-165307.txt,banks,3
Dracula-165307.txt,scouring,1
Dracula-165307.txt,shock,34
Dracula-165307.txt,szgany,13
Dracula-165307.txt,ashes,1
Dracula-165307.txt,paralysis,1
Dracula-165307.txt,meddle,1
Dracula-165307.txt,bigamist,1
Dracula-165307.txt,prejudiced,1
Dracula-165307.txt,flakes,2
Dracula-165307.txt,attitude,5
Dracula-165307.txt,reassured,1
Dracula-165307.txt,treatment,4
Dracula-165307.txt,average,2
Dracula-165307.txt,compare,2
Dracula-165307.txt,bodies,8
Dracula-165307.txt,virtues,1
Dracula-165307.txt,cordage,1
Dracula-165307.txt,choosing,1
Dracula-165307.txt,waited,29
Dracula-165307.txt,transparent,1
Dracula-165307.txt,awkwardly,1
Dracula-165307.txt,bram,3
Dracula-165307.txt,unsteered,1
Dracula-165307.txt,journal,63
Dracula-165307.txt,grasp,4
Dracula-165307.txt,grass,7
Dracula-165307.txt,interstice,1
Dracula-165307.txt,unlike,1
Dracula-165307.txt,hotel,13
Dracula-165307.txt,_whitby,1
Dracula-165307.txt,wednesday,1
Dracula-165307.txt,term,2
Dracula-165307.txt,latch,1
Dracula-165307.txt,rigid,1
Dracula-165307.txt,business,23
Dracula-165307.txt,jotting,1
Dracula-165307.txt,staff,2
Dracula-165307.txt,possible,32
Dracula-165307.txt,right,103
Dracula-165307.txt,partly,2
Dracula-165307.txt,shoes,4
Dracula-165307.txt,constrained,1
Dracula-165307.txt,philosophically,1
Dracula-165307.txt,stealing,2
Dracula-165307.txt,stage,4
Dracula-165307.txt,taught,2
Dracula-165307.txt,returning,1
Dracula-165307.txt,grumble,1
Dracula-165307.txt,smoothest,1
Dracula-165307.txt,maximum,1
Dracula-165307.txt,waiter,1
Dracula-165307.txt,repelled,1
Dracula-165307.txt,under,69
Dracula-165307.txt,desert,4
Dracula-165307.txt,did,281
Dracula-165307.txt,quarter,6
Dracula-165307.txt,proposing,2
Dracula-165307.txt,die,45
Dracula-165307.txt,tolerant,1
Dracula-165307.txt,therapeutics,1
Dracula-165307.txt,dig,1
Dracula-165307.txt,murray,15
Dracula-165307.txt,happiest,2
Dracula-165307.txt,overslept,1
Dracula-165307.txt,dim,13
Dracula-165307.txt,dip,1
Dracula-165307.txt,dangerously,1
Dracula-165307.txt,fears,20
Dracula-165307.txt,later,52
Dracula-165307.txt,considerate,1
Dracula-165307.txt,midst,11
Dracula-165307.txt,forgotten,11
Dracula-165307.txt,evils,2
Dracula-165307.txt,possibly,13
Dracula-165307.txt,hotch,1
Dracula-165307.txt,brows,8
Dracula-165307.txt,parcel,5
Dracula-165307.txt,renewing,1
Dracula-165307.txt,stray,2
Dracula-165307.txt,journey,20
Dracula-165307.txt,test,5
Dracula-165307.txt,puzzles,1
Dracula-165307.txt,finally,20
Dracula-165307.txt,remained,21
Dracula-165307.txt,enforcement,1
Dracula-165307.txt,braw,1
Dracula-165307.txt,conviction,9
Dracula-165307.txt,brown,4
Dracula-165307.txt,straw,2
Dracula-165307.txt,sermon,1
Dracula-165307.txt,hideous,2
Dracula-165307.txt,petrof,2
Dracula-165307.txt,acceptance,1
Dracula-165307.txt,puzzled,9
Dracula-165307.txt,protectingly,1
Dracula-165307.txt,final,4
Dracula-165307.txt,learnt,1
Dracula-165307.txt,whispering,2
Dracula-165307.txt,forked,1
Dracula-165307.txt,colours,3
Dracula-165307.txt,distract,2
Dracula-165307.txt,occasion,13
Dracula-165307.txt,transfixed,1
Dracula-165307.txt,bred,3
Dracula-165307.txt,poplar,2
Dracula-165307.txt,overwhelmed,4
Dracula-165307.txt,back,260
Dracula-165307.txt,swaying,1
Dracula-165307.txt,heavier,1
Dracula-165307.txt,expectation,4
Dracula-165307.txt,resisting,1
Dracula-165307.txt,petals,1
Dracula-165307.txt,states,22
Dracula-165307.txt,paler,3
Dracula-165307.txt,sheets,2
Dracula-165307.txt,load,1
Dracula-165307.txt,company,5
Dracula-165307.txt,thomas,7
Dracula-165307.txt,frenzied,2
Dracula-165307.txt,blinded,1
Dracula-165307.txt,harris,1
Dracula-165307.txt,length,7
Dracula-165307.txt,cloudiness,1
Dracula-165307.txt,grand,2
Dracula-165307.txt,concerns,1
Dracula-165307.txt,keyhole,1
Dracula-165307.txt,overwhelming,1
Dracula-165307.txt,baby,3
Dracula-165307.txt,blossoms,1
Dracula-165307.txt,knots,1
Dracula-165307.txt,grant,2
Dracula-165307.txt,showing,9
Dracula-165307.txt,overboard,2
Dracula-165307.txt,newsletter,1
Dracula-165307.txt,lunch,14
Dracula-165307.txt,helping,6
Dracula-165307.txt,reared,3
Dracula-165307.txt,bullies,1
Dracula-165307.txt,caricaturists,1
Dracula-165307.txt,attempt,8
Dracula-165307.txt,thick,13
Dracula-165307.txt,balance,4
Dracula-165307.txt,_may_,1
Dracula-165307.txt,revealed,1
Dracula-165307.txt,lock,24
Dracula-165307.txt,corroborated,1
Dracula-165307.txt,pitch,2
Dracula-165307.txt,fools,3
Dracula-165307.txt,weakening,1
Dracula-165307.txt,dearly,1
Dracula-165307.txt,kindness,12
Dracula-165307.txt,lying,24
Dracula-165307.txt,frayed,1
Dracula-165307.txt,minding,2
Dracula-165307.txt,glittering,2
Dracula-165307.txt,transylvania,15
Dracula-165307.txt,exceeded,1
Dracula-165307.txt,made,196
Dracula-165307.txt,statue,1
Dracula-165307.txt,electrical,1
Dracula-165307.txt,being,84
Dracula-165307.txt,yielded,4
Dracula-165307.txt,bade,4
Dracula-165307.txt,menace,1
Dracula-165307.txt,hoping,2
Dracula-165307.txt,contents,2
Dracula-165307.txt,do_,1
Dracula-165307.txt,calmer,2
Dracula-165307.txt,warned,4
Dracula-165307.txt,curse,4
Dracula-165307.txt,interval,2
Dracula-165307.txt,maniac,3
Dracula-165307.txt,dog,32
Dracula-165307.txt,status,4
Dracula-165307.txt,rebuff,2
Dracula-165307.txt,nobility,1
Dracula-165307.txt,imperious,2
Dracula-165307.txt,don,86
Dracula-165307.txt,curve,4
Dracula-165307.txt,bags,2
Dracula-165307.txt,embarrassed,1
